Judul,Isi
Survei Poltracking Elektabilitas Parpol: PDIP Tertinggi,"Poltracking Indonesia telah merilis hasil survei elektabilitas terbaru partai politik. Hasilnya, PDIP masih berada di posisi tertinggi di angka 22,2%."
Simak Pengalihan Arus Lalin Sekitar KPU Jelang Debat Perdana Capres,Rekayasa lalu lintas akan dimulai pukul 15.00 WIB. Rekayasa lalu lintas bersifat situasional.
Saksikan Live Streaming Debat Perdana Pilpres 2024 di detikcom!,Debat Pilpres 2024 akan digelar petang nanti di Kantor KPU RI. detikers bisa menyaksikan live streaming debat perdana ini di detikcom!
Herannya Wiranto Isu Pelanggaran HAM Prabowo Diungkit Terus Jelang Pilpres,"Wakil Dewan Pertimbangan Presiden, Wiranto, mengaku heran isu pelanggaran HAM Capres nomor urut 2, Prabowo Subianto kerap diungkit menjelang Pilpres."
"Survei Litbang Kompas: Elektabilitas Gerindra 21,9%, PDIP 18,3%",Litbang Kompas merilis survei terbaru terkait elektabilitas partai politik di Pemilu 2024. Gerindra kini berada di puncak dan disusul oleh PDIP.
4 Survei Terkini Elektabilitas 3 Capres-cawapres Jelang Debat Perdana,3 Capres akan menjalani debat perdana hari ini. Lantas bagaimana elektabilitas ke 3 pasangan capres-cawapres jelang debat?
Sederet Hal yang Perlu Diketahui soal Debat Perdana Pilpres 2024 Hari Ini,KPU akan menggelar debat perdana pilpres 2024 hari ini (12/12). Debat perdana ini akan dimulai dengan calon presiden (capres).
"Airlangga Hartarto: Prabowo-Gibran Nomor 1, Masa Partainya Nggak Ikut?",Ketum Partai Golkar Airlangga Hartarto memaparkan elektabilitas Prabowo-Gibran nomor satu di Lampung. Untuk itu dia meminta Golkar juga bisa jadi nomor satu.
Hitung-hitungan Sederet Nama yang Masuk Bursa Cawagub Khofifah,Bursa cawagub Jatim yang akan mendampingi Khofifah di Pilgub Jatim 2024 diprediksi alot. Beberapa nama mencuat dalam beberapa hasil survei.
Survei Poltracking Elektabilitas Parpol: PDIP Tertinggi,"Poltracking Indonesia telah merilis hasil survei elektabilitas terbaru partai politik. Hasilnya, PDIP masih berada di posisi tertinggi di angka 22,2%."
Simak Pengalihan Arus Lalin Sekitar KPU Jelang Debat Perdana Capres,Rekayasa lalu lintas akan dimulai pukul 15.00 WIB. Rekayasa lalu lintas bersifat situasional.
Saksikan Live Streaming Debat Perdana Pilpres 2024 di detikcom!,Debat Pilpres 2024 akan digelar petang nanti di Kantor KPU RI. detikers bisa menyaksikan live streaming debat perdana ini di detikcom!
Herannya Wiranto Isu Pelanggaran HAM Prabowo Diungkit Terus Jelang Pilpres,"Wakil Dewan Pertimbangan Presiden, Wiranto, mengaku heran isu pelanggaran HAM Capres nomor urut 2, Prabowo Subianto kerap diungkit menjelang Pilpres."
"Survei Litbang Kompas: Elektabilitas Gerindra 21,9%, PDIP 18,3%",Litbang Kompas merilis survei terbaru terkait elektabilitas partai politik di Pemilu 2024. Gerindra kini berada di puncak dan disusul oleh PDIP.
4 Survei Terkini Elektabilitas 3 Capres-cawapres Jelang Debat Perdana,3 Capres akan menjalani debat perdana hari ini. Lantas bagaimana elektabilitas ke 3 pasangan capres-cawapres jelang debat?
Sederet Hal yang Perlu Diketahui soal Debat Perdana Pilpres 2024 Hari Ini,KPU akan menggelar debat perdana pilpres 2024 hari ini (12/12). Debat perdana ini akan dimulai dengan calon presiden (capres).
"TKN Kumpulkan Aktivis 98 Jelang Debat, Tegaskan Prabowo Bukan Pelanggar HAM",TKN Prabowo-Gibran kumpulkan sejumlah aktivis dan korban penculikan era 98 jelang debat perdana Pilpres. Para aktivis menegaskan Prabowo bukan pelanggar HAM.
TPN Sebut Persoalan Hak Korban di Wadas Jadi Prioritas Ganjar,TPN Ganjar-Mahfud mengungkapkan pemulihan hak korban di Wadas jadi prioritas Ganjar saat jadi Gubernur Jawa Tengah. Persoalan Wadas disebut telah dituntaskan
"Hacker Jimbo Tak Secanggih Perkiraan, Ini Kata Ahli Forensik Digital","Bocornya 204 juta data pemilih Pemilu 2024 yang diumbar oleh hacker Jimbo sempat menggegerkan publik. Tapi menurut pakar, hacker Jimbo tidak begitu canggih."
Enkripsi Data Inovatif Faktor Utama Perangi Kebocoran Data,Keamanan data adalah prioritas utama di era digital dan enkripsi data yang inovatif menjadi salah satu langkah penting yang wajib dilakukan.
Menkominfo Ungkap 42% Masyarakat Percaya Disinformasi Seputar Pemilu,"Menkominfo mengungkap 42% masyarakat Indonesia mempercayai disinformasi seputar pemilu. Apabila tidak diantisipasi, dapat menurunkan kepercayaan masyarakat."
"Pemilu 2024: Masyarakat Sudah Cerdas Bermedsos, Platform Juga Dukung","Tren berita bohong jelang Pemilu 2024 di media sosial dinilai menurun. Menurut Kominfo, masyarakat telah belajar dari pemilu-pemilu sebelumnya."
"Jangan Coba-coba Bikin Berita Hoax, Pasti Ketahuan","Kabarhakam Komisaris Jendral (Pol), Fadil Irman, mengungkapkan masyarakat Indonesia kini sudah cerdas dalam memilah suatu informasi. Berita hoax akan ketahuan."
Kominfo: Kondisi Hoax Medsos Pemilu 2019 Paling Menegangkan,Hoax yang tersebar di media sosial saat pemilu 2019 menjadi momen paling menegangkan bagi Kementerian Komunikasi dan Informatika atau Kominfo.
"Pemilu 2024, Media Sosial Jadi Pisau Mata Dua","Jelang Pemilu 2024, medsos dianggap menjadi pisau bermata dua. Hal ini karena medsos bisa melahirkan berkah sekaligus ancaman."
Menkominfo Jadi Moderator Demi Indonesia: Nanti Kita Bikin Podcast,Menteri Komunikasi dan Informatika Budi Arie Setiadi mendadak jadi moderator di acara #DemiIndonesia Cerdas Memilih by detikcom.
"Kabaharkam: Jelang Pemilu 2024, Berita Bohong di Internet Turun",Komisaris Jenderal (Pol) Fadil Imran menyebut bahwa indeks berita bohong di masyarakat membaik.
"IBL 2024 Mulai Januari, Terapkan Format Kandang Tandang Sejak Seri Reguler",IBL 2024 dijadwalkan bergulir mulai Januari. Kompetisi bola basket nasional ini akan menerapkan format laga kandang tandang sejak seri reguler sampai playoff.
Alasan Menpora Beri Hadiah Papan Catur di Haornas ke-40,"Puncak acara Haornas ke-40 berlangsung di Jakarta Internasional Velodrome, Jakarta. Dalam kesempatan itu, Menpora Dito Ariotedjo memberikan hadiah papan catur."
Kongres Pemilihan Ketum KOI Dipercepat Jadi Juni 2023,Pelaksanaan kongres Komite Olimpiade Indonesia (KOI) dipercepat dari semula 2024 menjadi Juni 2023. Hal itu dilakukan lantaran ada Pemilihan Umum Presiden RI.
SEA Games 2021 Resmi Ditunda,"SEA Games 2021 yang sedianya dilaksanakan November tahun ini resmi ditunda. Namun, kapan waktu penggantinya masih akan dirembukkan usai Olimpiade Tokyo 2020."
"Ikut Pemilu, Lalu Zohri Ingin Presiden yang Jujur dan Tegas",Sprinter Lalu Muhammad Zohri akan mengikuti Pemilihan Presiden 2019 untuk kali pertama. Dia akan pilih pemimpin yang jujur dan tegas.
"'Satgas Antimafia Bola Semestinya Permanen, Bukan Sementara'","PSSI kembali membentuk Satuan Tugas (Satgas) Antimafia Bola. Tugas mereka dinilai semestinya permanen, bukan sementara."
"Masuk Bursa Cawapres, Erick Thohir: Amanah Saya di PSSI","Nama Erick Thohir santer disebut-sebut masuk bursa bakal calon wakil presiden (bacawapres). Erick tegaskan, dirinya punya amanah di PSSI."
Kapan Liga 2 Dimulai? PT LIB Tunggu Arahan PSSI,PT Liga Indonesia Baru (LIB) belum bisa memastikan kapan Liga 2 2023/24 akan dimulai. Operator kompetisi menyatakan masih menunggu arahan dari PSSI.
PT LIB Harap Kendala Jadwal yang Dialami Persija Vs PSM Tak Terjadi Lagi,PT Liga Indonesia Baru (LIB) berharap jadwal kompetisi bisa lancar. Penjadwalan ulang Persija Jakarta Vs PSM Makassar jangan sampai terulang lagi.
"Liga 1: Persija Vs PSM Batal Laga Pembuka, Diganti Bali United Vs PSS",Persija Jakarta vs PSM Makassar batal menjadi laga pembuka Liga 1 2023/2024. Pembukaan akan digelar di Bali dengan laga Bali United vs PSS Sleman.
"Liga 1 Tanpa Suporter Away, Kapasitas Dibatasi saat Musim Kampanye",Liga 1 2023/2024 diputuskan tanpa kehadiran suporter tim tamu. Kemudian kapasitas kehadiran penonton akan menjadi 50 persen saat musim kampanye Pemilu.
PSSI: Liga 1 Jalan Terus Meski Ada Piala Dunia U-17 dan Kampanye Pemilu,PSSI memastikan Liga 1 tetap berjalan sesuai rencana meski ada Piala Dunia U-17 2023 pada November mendatang. Ini waktunya menyinergikan semua agenda nasional.
Mino Raiola: Kata Siapa Erling Haaland ke Barcelona?,"Erling Haaland diisukan akan bergabung ke Barcelona seusai pemilu presiden Blaugrana. Kabar tersebut dibantah agen Haaland, Mino Raiola."
Imanuel Wanggai di Hari Pemilu: Jaga TPS Pakai Baju Satpam,Imanuel Wanggai tampil nyentrik di hari pemilihan umum. Pemain Persipura Jayapura itu tampil dengan seragam satpam dengan tugas sebagai pengaman TPS.
"Tina Toon Lulus S1 Hukum, Bangga Jadi Wisudawan Terhormat",Tina Toon lulus S1 Hukum. Ia bangga jadi wisudawan terhormat.
Pasang Surut Hubungan Hamka-Presiden Soekarno di Film Hamka & Siti Raham Vol. 2,Film Hamka & Siti Raham Vol.2 akan memasukkan kisah persahabatan Buya Hamka dengan Presiden Soekarno. Dua sahabat itu bisa beda pandangan karena politik.
Pengakuan Deddy Corbuzier Bakal Golput di Pemilu 2024,Deddy Corbuzier sebutkan sejumlah kewajiban yang harus dijalankan selama menjabat di TNI AD. Ia harus golput alias tidak memilih saat pemilu mendatang.
Pandangan Candil saat Banyak Musisi Tertarik Jadi Anggota Dewan,Candil eks Seurieus masih ogah terjun ke politik. Sebagai musisi banyak yang tidak dia mengerti soal politik.
Komika Papa Zidan Terkenal di TikTok hingga Kini Bikin Lagu Untuk Pemilu,Komika Papa Zidan terkenal di TikTok. Kini ia bikin lagu untuk pemilu.
Ade Fitrie Kirana Yakin Generasi Unggul Dapat Tercipta Lewat Cara Ini,Ade Fitrie Kirana yakin generasi unggul dapat tercipta lewat cara ini. Seperti apa?
Ade Fitrie Kirana Sebut Pemberdayaan Perempuan Penting Bagi Masa Depan Negara,Ade Fitrie Kirana sebut pemberdayaan perempuan penting bagi masa depan negara. Seperti apa?
"Nyaleg, Narji Ogah Jor-joran untuk Kampanye: Kalau Gagal Nggak Jadi Gila",Narji yang ogah jor-joran untuk kampanye.
"Seloroh Narji Kompak Nyaleg Bareng Denny, Wendi Cagur Nggak Diajak Nih?","Narji juga memutuskan untuk nyaleg di Pemilu 2024. Kompak dengan Denny Cagur, kenapa Wendi Cagur nggak diajak?"
"3 Calon Presiden Indonesia Suka Makanan Tradisional, Ini Favoritnya","Tiga calon presiden (capres) Indonesia menyukai beragam makanan tradisional. Apa saja makanan favorit Anies Baswedan, Ganjar Pranowo, dan Prabowo Subianto?"
Menu Makan Siang Jokowi Bersama 3 Capres hingga Protes Beli Nasi Padang,Terungkap menu makan siang yang Jokowi dan 3 calon presiden. Ada juga berita wanita kena rasisme saat jualan sushi di New York hingga protes beli nasi Padang.
"3 Kopi Favorit Capres 2024, Kopi Hambalang hingga Kopi Lampung","Capres 2024 punya kopi favorit. Mulai dari Prabowo yang suka kopi hambalang, Ganjar suka kopi Lampung, hingga Anies yang suka kopi pahit. Begini racikannya!"
"Muhaimin Iskandar Cawapres Anies Baswedan, Ini Fakta Kulinernya",Muhaimin Iskandar atau yang akrab disapa Cak Imin resmi menjadi Cawapres Anies Baswedan. Ketua Umum PKB ini juga memiliki fakta kuliner menarik lho foodies!
Aksi Sandiaga hingga Ganjar Pranowo yang Eksis Jadi Foodies,"Tak hanya sibuk berpolitik, ada para pejabat negara yang eksis jadi foodies di media sosial. Sosok Ridwan Kamil hingga Ganjar Pranowo heboh jadi food vlogger!"
5 Bisnis Kuliner Gibran hingga Aksi Ridwan Kamil Jadi Food Vlogger,"Cawapres Prabowo, Gibran Rakabuming memiliki sederet bisnis kuliner. Ada juga pria nekat jalani tantangan minum bir hingga aksi Ridwan Kamil jadi food vlogger."
"5 Fakta Bisnis Kuliner Gibran Rakabuming, Cawapres Prabowo dalam Pemilu 2024","Prabowo Subianto mengumumkan Gibran Rakabuming Raka sebagai cawapres, pendamping dirinya. Intip sosok Gibran yang kiprahnya lekat dengan dunia kuliner."
Kreatif! 5 Tempat Makan Ini Pakai Spanduk ala Caleg Kampanye,Beberapa tempat makan ini mendesain spanduk promosi layaknya calon legislatif (caleg) sedang kampanye. Bahkan sampai menuliskan program kerjanya.
S3 Marketing! Penjual Roti di Magelang Ini Promosi bak Caleg,Banyak cara kreatif untuk mempromosikan bisnis kuliner. Penjual roti di Magelang ini memilih promosi dengan materi mirip calon legislatif.
Bamsoet Ajak Komunitas Pajero Indonesia Bantu Tingkatkan Sport Tourism,"Ketua MPR RI Bambang Soesatyo dukung rencana pengukuhan pengurus nasional Pajero Indonesia Family yang akan diselenggarakan, di Bogor, pada 2 Desember 2023."
Pebalap Spanyol Ikut Komentar soal Pencoretan Mandalika dari Kalender WSBK 2024,Pebalap Team HRC WSBK Iker Lecuona berharap WSBK tetap bisa digelar di Sirkuit Mandalika tahun depan. Sebab penontonnya begitu ramai.
Pebalap Honda Kecewa Sirkuit Mandalika Dicoret dari WSBK 2024,"Pebalap Team HRC WSBK, Xavi Vierge, merasa kecewa karena Sirkuit Mandalika tak menyelenggarakan balap WSBK (World Superbike) musim 2024."
"Formula E Rilis Kalender Resmi 2024, Tak Ada Balapan di Jakarta","Pada kalender resmi yang telah ditetapkan kemarin, Rabu (22/11/2023), fix tak ada jadwal balapan Formula E di Jakarta."
Intip Harga Mobil yang Dipakai Anies-Cak Imin saat Ambil Nomor Urut ke KPU,Mobil yang digunakan pasangan Anies Baswedan dan Muhaimin Iskandar ke KPU semalam mencuri perhatian. Intip spek dan harga mobil bongsor itu.
"Bamsoet Buka Ajang Balap Harley HI-DRONE, Dimeriahkan Bazar-Konser Musik","HI-DRONE mengusung konsep baru dalam ajang otomotif di Indonesia. Sebab ajang ini menggabungkan balap motor Harley, bazar UMKM, dan konser musik."
Bamsoet: Foto VW dengan Latar Gedung MPR yang Bersejarah Itu Luar Biasa,"Hal itu disampaikan Bamsoet saat membuka acara Sosialisasi Empat Pilar MPR RI, 'Road to Pecah Seribu VW: Indonesia Bersatu."
"Buka Volkswagen Wochenende Treffen 2023, Bamsoet Bicara Sejarah VW di RI",Ketua Umum Ikatan Motor Indonesia (IMI) Bambang Soesatyo (Bamsoet) membuka event Volkswagen (VW) Wochenende Treffen 2023.
Bamsoet Apresiasi 7 Tahun Perjalanan Harley Davidson Police Owners Group,Ketua MPR RI Bambang Soesatyo (Bamsoet) mengapresiasi komunitas motor besar Harley Davidson Police Owners Group (POG) yang sudah memasuki usia ke-7 tahun.
Menkes Bicara soal Kesiapan RS Jiwa Jelang Pemilu dan Pilkada 2024,Menteri Kesehatan Budi Gunadi Sadikin ikut menanggapi kemungkinan laporan lonjakan kasus gangguan jiwa yang dialami calon legislatif di 2024.
"Daftar Pemeriksaan Kesehatan Capres-Cawapres di RSPAD, Tes Fisik sampai Mental",RSPAD dipilih sebagai rumah sakit tempat tes kesehatan bagi bakal pasangan calon peserta Pilpres 2024. Pemeriksaan kesehatan rencananya akan dimulai pekan ini.
"Viral Cuitan SBY soal Mimpi, Dokter Tidur Ungkap Fakta Medis di Baliknya","Tak sedikit yang menafsirkan cuitan mimpi SBY dengan gambaran Pemilu 2024. Lantas, apakah mimpi bisa ditafsirkan secara medis? Begini kata dokter tidur."
"Marak Tafsir Mimpi SBY Ketemu Jokowi-Megawati, Penjelasan Medisnya Begini",Tak sedikit pengamat-ahli menyoroti arti mimpi Eks Presiden RI SBY yang bertemu Presiden RI Jokowi dan Ketua PDIP Megawati. Begini penjelasan dokter tidur.
Dokter Tidur Ungkap Fakta Medis di Balik Viral Cuitan Tafsir Mimpi SBY,"Presiden ke-6 RI, SBY menarik perhatian karena menceritakan mimpinya melalui cuitannya di Twitter. Lantas, apakah hal ini bisa dijelaskan secara medis?"
RS Rujukan Kesehatan Jiwa Makassar Siapkan Bed Khusus Caleg Gagal Pemilu 2024,"RSKD Dadi Makassar, Sulsel menyiapkan tempat tidur bagi caleg gagal pada pemilu 2024. Salah satu syaratnya yakni mereka adalah anggota BPJS Kesehatan."
"Pesan Dokter Buat yang Demo saat Puasa, Waspadai Ciri-ciri Dehidrasi!","BEM SI bakal menggelar aksi demonstrasi di DPR RI hari ini, Senin (11/4). Catat pesan dokter agar aksi tetap berjalan aman selama puasa Ramadan."
Momen Kocak Ridwan Kamil Protes Wajahnya di Foto Kampanye Mirip Babang Tamvan,Mantan Gubernur Jawa Barat Ridwan Kamil baru-baru ini tampak memamerkan foto kampanye miliknya ke akun Instagram. Penasaran seperti apa fotonya?
"Daftar Prestasi 3 Anak Capres, Peraih Medali Emas Hingga Desainer Dunia","Seperti apa jejak prestasi dari anak Anies Baswedan, Ganjar Pranowo, dan Prabowo Subianto?"
Gaya Selvi Ananda Dampingi Gibran Deklarasi Jadi Cawapres Prabowo,Tepat pada 25 Oktober 2023 Gibran Rakabuming menyampaikan pidatonya sebagai cawapres Prabowo. Di salah satu momen ia tampak mengajak istrinya naik ke panggung.
Ini Arti Baju Warna Biru yang Dipakai Prabowo dan Gibran Saat Deklarasi,"Sejak pagi, keduanya pun terlihat kompak mengenakan kemeja warna biru sebelum mendaftarkan pencalonan diri dalam Pemilu 2024. Apa arti dari baju itu?"
"Intip Potret Masa Kecil Gibran Cawapres Prabowo, Berkaca Mata & Rambut Cepak","Kini sudah menikah dan dikaruniai dua orang anak, penasaran bagaimana penampilan Gibran Rakabuming cawapres Prabowo saat masih kecil? Berikut selengkapnya."
"Intip Jam Tangan 3 Capres: Prabowo, Anies dan Ganjar, Siapa Paling Mahal?",Baru-baru ini jam tangan dari para calon presiden yang akan mencalonkan diri pada Pemilu 2024 pun jadi sorotan. Siapa yang paling mahal?
"Gaya Jokowi Pakai Baju Adat Bangka Belitung di Sidang MPR, Ini Maknanya","Jokowi melanjutkan tradisi berbusana adat untuk Sidang Tahunan MPR RI. Tahun ini, baju adat dari Bangka Belitung menjadi andalannya. Apa maknanya?"
"Kanye West Gandeng Belanciaga, Rilis Merchandise Album Donda","Berbarengan dengan kehadiran album 'Donda', Kanye West juga meluncurkan merchandise khusus. Tak tanggung-tanggung, Balenciaga pun digandeng sang rapper."
"Meski 2024 Ada Pemilu, Pertandingan-Konser Internasional Gas Terus","Meski tahun depan ada Pemilu 2024, tapi Kemenparekraf memastikan pertandingan hingga konser musisi internasional yang telah terjadwal tetap jalan terus."
"WSBK 2024 Tidak Digelar di Sirkuit Mandalika, Kenapa?",Event World Superbike (WSBK) 2024 tidak digelar di Sirkuit Mandalika. Ternyata alasannya berhubungan dengan fee dan pesta demokrasi.
Makna Kain Tenun Sumba yang Dipakai Ketiga Capres-Cawapres di KPU,KPU beri oleh-oleh kain tenun Sumba NTT untuk capres-cawapres. Ternyata kain tenun tersebut memiliki makna cukup dalam.
"Bicara Tahun Politik, Sandiaga Uno: Menterinya Tidak ke Mana-mana",Sandiaga Uno berbicara mengenai dinamika di tahun politik. Ia sempat bergurau bahwa Kemenparekraf tak berdinamika karena dirinya tak kemana-mana.
Sandiaga Pastikan Investasi Sektor Pariwisata Tak Terpengaruh Dinamika Politik,"Sandiaga Uno, memastikan sektor pariwisata dan ekonomi kreatif tak terpengaruh dinamika politik jelang Pemilu 2024. Sandi justru melihat adanya peluang wisata."
"Kembali ke Awal, Negara India Mau Ubah Nama Jadi Bharat",Pemerintah India berencana mengganti nama negara itu menjadi Bharat. Nama Bharat telah digunakan masyarakat sebelum India dipakai untuk menyebut negara itu.
Bule Punya KTP Bali Pertama Diungkap oleh KPU,"Bule di Bali yang memiliki KTP menimbulkan masalah. Karena, kekeliruan itu ditemukan oleh KPU (komisi pemilihan umum)."
"Masuk Tahun Politik, Diaspora Indonesia Serukan Persatuan Lewat Budaya","Tahun 2023 disebut sebagai 'tahun politik'. Untuk itu, masyarakat diaspora Indonesia di Amerika Serikat menyerukan pesan persatuan melalui seni budaya."
"Pesta Demokrasi 2024, Hotel Diyakini Panen Rezeki","Pesta demokrasi berlangsung setahun lagi, 2024. Dalam perhelatan akbar ini, hotel diyakini ketiban rezeki."
"P2G Beri Catatan soal Visi-Misi Cawapres, Sorot Janji-janji kepada Guru",P2G memberi sejumlah catatan kritis soal visi dan misi ketiga capres-cawapres. Begini pemaparan mereka.
Misi Ganjar-Mahfud: Wajib Belajar 12 Tahun Gratis-1 Keluarga Miskin 1 Sarjana,"Pada pemaparan visi misi Ganjar-Mahfud Md, disebutkan salah satu programnya adalah wajib belajar 12 tahun gratis hingga 1 keluarga miskin 1 sarjana."
Visi Misi Prabowo-Gibran: Benahi Kurikulum Pendidikan Tinggi- UMR Guru Swasta,"Paslon nomor 2 memiliki sejumlah visi dalam bidang pendidikan, sains, SDM, hingga kebudayaan. Prabowo-Gibran sebut soal upah minimun guru PAUD sampai swasta."
